ᐋ,U
ᒥᔮᐧᐯᐃᐧᐤ,mIywUpewIw
ᒥᔮᐧᐱᐣ,mIywUpIn
ᒥᔮᐧᐱᓯᐣ,mIywUpIsIn
ᒥᔭᐧᐱᐤ,mIywUpIw
ᒥᔮᐧᓯᐣ,mIywUsIn
ᒥᔮᐧᓯᐣ,mIywUsIn
ᒥᔭᐧᓯᓇᐦᐊᒼ,mIywUsInUhUm
ᒥᔭᐧᓯᓇᐦᐃᑫᐤ,mIywUsInUhIkew
ᒥᔭᐧᓯᓇᐦᐃᑫᐃᐧᐣ,mIywUsInUhIkewIn
ᒥᔭᐧᓯᓈᓱᐤ,mIywUsInUsOw
ᒥᔭᐧᓯᓈᐢᑌᐤ,mIywUsInUstew
ᒥᔮᐧᓯᓯᐤ,mIywUsIsIw
ᒥᔭᐧᐢᑭᓯᓀᐤ,mIywUskIsInew
ᒥᔭᐧᐢᑖᐤ,mIywUstUw
ᒥᔭᐧᐢᑌᐤ,mIywUstew
ᒥᔮᐧᑕᒧᐃᐧᐣ,mIywUtUmOwIn
ᒥᔮᐧᑎᓯᐤ,mIywUtIsIw
ᒥᔮᐧᑎᓯᐃᐧᐣ,mIywUtIsIwIn
ᒥᔭᐧᑐᐢᑫᐤ,mIywUtOskew
ᒥᔭᐧᑐᐢᑫᐃᐧᐣ,mIywUtOskewIn
ᒥᔮᐧᔮᐃᐧᐣ,mIywUyUwIn
ᒥᔦᐧᔨᐦᒋᑳᑌᐤ,mIyweyIhtsIkUtew
ᒥᔦᐧᔨᐦᑖᑯᓯᐤ,mIyweyIhtUkOsIw
ᒥᔦᐧᔨᐦᑖᑲᐧᐣ,mIyweyIhtUkwUn
ᒥᔦᐧᔨᐦᑕᒼ,mIyweyIhtUm
ᒥᔦᐧᔨᐦᑕᒥᐦᐁᐤ,mIyweyIhtUmIhew
ᒥᔦᐧᔨᐦᑕᒧᐃᐧᐣ,mIyweyIhtUmOwIn
ᒥᔦᐧᔨᐦᑐᐊᐧᐠ,mIyweyIhtOwUk
ᒥᔦᐧᔨᒣᐤ,mIyweyImew
ᒥᔦᐧᔨᒥᓱᐤ,mIyweyImIsOw
ᒥᔦᐧᔨᒧᐤ,mIyweyImOw
ᒥᔦᐧᔨᒧᐃᐧᐣ,mIyweyImOwIn
ᒨᒉᔮᐱᐢᑯᐢ,motseyUpIskOs
ᒨᒋᑲᐣ,motsIkUn
ᒨᒋᑳᐤ,motsIkUw
ᒨᒋᑫᔨᐦᑕᒼ,motsIkeyIhtUm
ᒨᒋᑭᐦᒑᓯᐤ,motsIkIhtsUsIw
ᒨᒋᑭᐦᐁᐤ,motsIkIhew
ᒨᒋᑭᐦᑖᐤ,motsIkIhtUw
ᒨᒋᑭᐦᑖᐃᐧᐣ,motsIkIhtUwIn
ᒨᒋᑭᐦᑖᐃᐧᓂᐦᑫᐤ,motsIkIhtUwInIhkew
ᒨᒋᑭᐯᐤ,motsIkIpew
ᒧᐦᒋ,mOhtsI
ᒧᐦᒋᕁ,mOhtsIhk
ᒧᐦᒋᐦᑕᐠ,mOhtsIhtUk
ᒧᐦᒋᐦᑕᑳᕁ,mOhtsIhtUkUhk
ᒨᐦᒋᑐᓈᒧᐤ,mohtsItOnUmOw
ᒧᐦᒋᔮᐦᑎᐠ,mOhtsIyUhtIk
ᒨᐦᒍᐦᑳᐣ,mohtsOhkUn
ᒨᐦᒍᐦᑳᓱᐤ,mohtsOhkUsOw
ᒨᐦᒍᐦᑫᐤ,mohtsOhkew
ᒨᐦᒍᐢᑫᐧᐤ,mohtsOskwew
ᒨᐦᒍᐃᐧᓯᐤ,mohtsOwIsIw
ᒨᐦᒍᐃᐧᐤ,mohtsOwIw
ᒨᐦᒍᐃᐧᔮᐤ,mohtsOwIyUw
ᒨᐦᒎᔨᓃᐃᐧᐤ,mohtsoyIniwIw
ᒨᐦᒐᐧᐦᑲᒥᑭᓯᐤ,mohtswUhkUmIkIsIw
ᒨᐦᒑᐧᐯᐤ,mohtswUpew
ᒨᐦᒉᐧᔨᒣᐤ,mohtsweyImew
ᒨᐦᐁᐤ,mohew
ᒨᐦᑲᐦᒑᐤ,mohkUhtsUw
ᒨᐦᑲᐦᐅᓯᐤ,mohkUhOsIw
ᒧᐦᑭᒉᐤ,mOhkItsew
ᒨᐦᑭᒋᐊᐧᓂᐯᐠ,mohkItsIwUnIpek
ᒨᐦᑭᒋᐊᐧᓂᐯᐤ,mohkItsIwUnIpew
ᒨᐦᑭᒋᐊᐧᓂᐯᔮᐤ,mohkItsIwUnIpeyUw
ᒨᐦᑭᑕᐱᐤ,mohkItUpIw
ᒨᐦᑭᑐᐦᑌᐤ,mohkItOhtew
ᒨᐦᑯᒋᑳᑫᐤ,mohkOtsIkUkew
ᒨᐦᑯᒋᑲᐣ,mohkOtsIkUn
ᒨᐦᑯᒋᑳᑌᐤ,mohkOtsIkUtew
ᒨᐦᑯᒋᑫᐤ,mohkOtsIkew
ᒨᐦᑯᒋᑫᐋᐧᑲᐣ,mohkOtsIkewUkUn
ᒨᐦᑯᒋᑫᐃᐧᐣ,mohkOtsIkewIn
ᒨᐦᑯᒫᐣ,mohkOmUn
ᒨᐦᑯᒫᓈᐦᑎᐠ,mohkOmUnUhtIk
ᒨᐦᑯᒫᓈᐱᐢᐠ,mohkOmUnUpIsk
ᒨᐦᑯᒫᓇᑐᐢ,mohkOmUnUtOs
ᒨᐦᑯᒫᓇᑐᓵᐱᐢᐠ,mohkOmUnUtOsUpIsk
ᒨᐦᑯᒫᓂᐦᑳᐣ,mohkOmUnIhkUn
ᒨᐦᑯᒫᓂᐢ,mohkOmUnIs
ᒨᐦᑯᒫᓂᑑᐢᑲᐧᓀᐤ,mohkOmUnItoskwUnew
ᒨᐦᑯᑖᑲᐣ,mohkOtUkUn
ᒨᐦᑯᑕᒼ,mohkOtUm
ᒨᐦᑯᑌᐤ,mohkOtew
ᒨᐦᑳᐧᑲᓀᐤ,mohkwUkUnew
ᒨᐦᑳᐧᑲᓀᔨᐤ,mohkwUkUneyIw
ᒧᐦᑖᐢᑭᑲᓀᐦᐅᓱᐤ,mOhtUskIkUnehOsOw
ᒧᐦᑖᐢᑭᑲᓀᐦᐁᐧᐤ,mOhtUskIkUnehwew
ᒧᐦᑌᒥᐤ,mOhtemIw
ᒧᐦᑌᐤ,mOhtew
ᒧᐦᑌᐤ,mOhtew
ᒧᐦᑌᐃᐧᐢᑳᐤ,mOhtewIskUw
ᒧᐦᑌᐃᐧᐤ,mOhtewIw
ᒧᐦᑌᐃᐧᔮᐢ,mOhtewIyUs
ᒧᐦᔮᐱᒋᐢᑳᐣ,mOhyUpItsIskUn
ᒧᐦᔮᐱᑕᓭᑲᐣ,mOhyUpItUsekUn
ᒧᐦᔮᐱᑕᓭᑯᐤ,mOhyUpItUsekOw
ᒨᒥᓀᐤ,momInew
ᒨᓇᐦᐊᒼ,monUhUm
ᒨᓇᐦᐊᐢᑳᐧᑲᐣ,monUhUskwUkUn
ᒨᓇᐦᐊᐢᑳᐧᐣ,monUhUskwUn
ᒨᓇᐦᐊᐢᑫᐧᐤ,monUhUskwew
ᒨᓇᐦᐃᒉᐱᐦᑳᑲᐣ,monUhItsepIhkUkUn
ᒨᓇᐦᐃᒉᐱᐦᑫᐤ,monUhItsepIhkew
ᒨᓇᐦᐃᑳᑲᐣ,monUhIkUkUn
ᒨᓇᐦᐃᑲᓈᐦᑎᐠ,monUhIkUnUhtIk
ᒨᓇᐦᐃᑳᑕᒼ,monUhIkUtUm
ᒨᓇᐦᐃᑫᓯᐤ,monUhIkesIw
ᒨᓇᐦᐃᑫᐢᑕᒪᐁᐧᐤ,monUhIkestUmUwew
ᒨᓇᐦᐃᑫᐤ,monUhIkew
ᒨᓇᐦᐃᐹᐣ,monUhIpUn
ᒨᓇᐦᐃᐯᐱᒋᑲᐣ,monUhIpepItsIkUn
ᒨᓇᐦᐃᐯᐱᒋᑫᐤ,monUhIpepItsIkew
ᒨᓇᐦᐃᐯᐱᑕᒼ,monUhIpepItUm
ᒨᓇᐦᐃᐢᑭᐋᐧᑲᐣ,monUhIskIwUkUn
ᒨᓇᐦᐁᐧᐤ,monUhwew
ᒨᓈᑎᐦᑫᐤ,monUtIhkew
ᒨᓂᐱᑕᒼ,monIpItUm
ᒨᓂᓲᓂᔮᐁᐧᐤ,monIsonIyUwew
ᒨᓂᔮᐦᑳᓱᐤ,monIyUhkUsOw
ᒨᓂᔮᐢ,monIyUs
ᒨᓂᔮᐢᑫᐧᐤ,monIyUskwew
ᒨᓂᔮᐤ,monIyUw
ᒨᓂᔮᐄᐧᐦᑖᐧᐃᐧᐣ,monIyUwihtwUwIn
ᒨᓂᔮᐃᐧᐤ,monIyUwIw
ᒨᓵᐦᑲᒣᐤ,mosUhkUmew
ᒨᓵᐦᑭᓇᒼ,mosUhkInUm
ᒨᓵᐦᑭᓀᐤ,mosUhkInew
ᒨᓵᐦᑭᓂᑫᐤ,mosUhkInIkew
ᒨᓵᐦᑭᓂᑫᐃᐧᐣ,mosUhkInIkewIn
ᒨᓵᐦᑭᐱᑕᒼ,mosUhkIpItUm
ᒨᓵᐦᑭᐱᑌᐤ,mosUhkIpItew
ᒨᓴᐠ,mosUk
ᒨᓵᑲᒥᐣ,mosUkUmIn
ᒨᓵᐯᐤ,mosUpew
ᒨᓵᐯᐃᐧᑲᒥᐠ,mosUpewIkUmIk
ᒨᓵᐯᐃᐧᐤ,mosUpewIw
ᒧᓴᐊᐧᐦᐊᒼ,mOsUwUhUm
ᒧᐢᒑᐢᑕᐣ,mOstsUstUn
ᒧᐢᒋ,mOstsI
ᒧᐢᒋᒋᐦᒉᓇᒼ,mOstsItsIhtsenUm
ᒧᐢᒋᑳᐧᓱᐤ,mOstsIkwUsOw
ᒧᐢᒋᑳᐧᑕᒼ,mOstsIkwUtUm
ᒧᐢᒋᑳᐧᑌᐤ,mOstsIkwUtew
ᒧᐢᒋᑑᐣ,mOstsIton
ᒧᐢᒋᐋᐧᐠ,mOstsIwUk
ᒧᐢᒍᐢ,mOstsOs
ᒧᐢᒍᓯᐢ,mOstsOsIs
ᒧᐢᒍᓱᐢ,mOstsOsOs
ᒧᓭ,mOse
ᒧᓭᑳᑌᐤ,mOsekUtew
ᒧᓭᐱᑌᐤ,mOsepItew
ᒧᓭᓯᐣ,mOsesIn
ᒧᓭᐢᑲᑌᓀᐤ,mOseskUtenew
ᒧᓭᐢᑲᑌᐱᐤ,mOseskUtepIw
ᒧᓭᐢᑲᑌᐤ,mOseskUtew
ᒧᓭᐢᑲᑌᐃᐧᐣ,mOseskUtewIn
ᒧᓭᐢᐱᑐᓀᐤ,mOsespItOnew
ᒧᓭᐢᑎᑳᐧᓀᐤ,mOsestIkwUnew
ᒧᓭᑎᔦᐦᑳᐧᒥᐤ,mOsetIyehkwUmIw
ᒧᓭᑎᔦᐤ,mOsetIyew
ᒨᓯᐦᐁᐤ,mosIhew
ᒨᓯᐦᐅᐤ,mosIhOw
ᒨᓯᐦᐅᐃᐧᐣ,mosIhOwIn
ᒨᓯᐦᐅᐃᐧᓂᐢ,mosIhOwInIs
ᒨᓯᐦᐅᐃᐧᓂᐤ,mosIhOwInIw
ᒨᓯᐦᑖᐤ,mosIhtUw
ᒧᓯᐢ,mOsIs
ᒨᓯᐢᑫᐧᐤ,mosIskwew
ᒨᓯᐢᑫᐧᐃᐧᐤ,mosIskwewIw
ᒨᐢᑳᑯᓀᐱᑕᒼ,moskUkOnepItUm
ᒨᐢᑳᑯᓀᐱᑌᐤ,moskUkOnepItew
ᒨᐢᑲᑖᐊᐧᐦᑭᐢᑲᐁᐧᐤ,moskUtUwUhkIskUwew
ᒨᐢᑭᒋᐊᐧᐣ,moskItsIwUn
ᒨᐢᑭᓀᐤ,moskInew
ᒨᐢᑭᓀᐤ,moskInew
ᒨᐢᑭᐸᔨᐤ,moskIpUyIw
ᒨᐢᑭᐯᐤ,moskIpew
ᒨᐢᑭᐯᐤ,moskIpew
ᒨᐢᑭᐱᑕᒼ,moskIpItUm
ᒨᐢᑭᐱᑌᐤ,moskIpItew
ᒨᐢᑮᐢᒋᑫᐤ,moskistsIkew
ᒨᐢᑮᐢᑖᑫᐤ,moskistUkew
ᒨᐢᑮᐢᑕᒼ,moskistUm
ᒨᐢᑮᐢᑕᒫᑐᐊᐧᐠ,moskistUmUtOwUk
ᒨᐢᑮᐢᑕᒪᐁᐧᐤ,moskistUmUwew
ᒨᐢᑮᐢᑖᑐᐊᐧᐠ,moskistUtOwUk
ᒨᐢᑮᐢᑕᐁᐧᐤ,moskistUwew
ᒨᐢᑮᐤ,moskiw
ᒨᐢᑭᐁᐧᐱᐢᑲᒼ,moskIwepIskUm
ᒨᐢᑯᒣᐤ,moskOmew
ᒨᐢᑯᒧᐤ,moskOmOw
ᒨᐢᑯᐯᐤ,moskOpew
ᒨᐢᑯᐋᐧᐦᑲᑐᓱᐤ,moskOwUhkUtOsOw
ᒨᐢᑯᐁᐧᐸᐦᐁᐧᐤ,moskOwepUhwew
ᒨᐢᑲᐧᒋᐤ,moskwUtsIw
ᒨᐢᑲᐧᒣᐤ,moskwUmew
ᒨᐢᑳᐧᐹᐁᐧᐤ,moskwUpUwew
ᒨᐢᑲᐧᐢᑯᐱᑌᐤ,moskwUskOpItew
ᒨᐢᑫᐧᔨᐦᑕᒼ,moskweyIhtUm
ᒨᓱᒋᐦᑎᐣ,mosOtsIhtIn
ᒨᓱᑯᐟ,mosOkOt
ᒨᓱᒼ,mosOm
ᒨᓱᒥᐣ,mosOmIn
ᒨᓱᒥᓂᕁ,mosOmInIhk
ᒨᓱᓯᐢ,mosOsIs
ᒨᓱᐢᑳᐤ,mosOskUw
ᒨᓱᑐᐃᐧᐣ,mosOtOwIn
ᒨᓱᐃᐧᐤ,mosOwIw
ᒨᓱᐃᐧᔮᐢ,mosOwIyUs
ᒧᐢᑖᐦᑕᐠ,mOstUhtUk
ᒧᐢᑖᐦᑕᑳᐤ,mOstUhtUkUw
ᒧᐢᑕᑯᒌᐢ,mOstUkOtsis
ᒧᐢᑖᐯᑲᓭᐱᐤ,mOstUpekUsepIw
ᒧᐢᑖᐯᑲᓭᐤ,mOstUpekUsew
ᒧᐢᑖᐯᑭᑳᑌᐤ,mOstUpekIkUtew
ᒧᐢᑕᐢᑲᒥᐠ,mOstUskUmIk
ᒧᐢᑕᐢᑲᒥᑳᐤ,mOstUskUmIkUw
ᒧᐢᑕᐢᑲᒥᑯᕁ,mOstUskUmIkOhk
ᒧᐢᑕᐢᑖᐤ,mOstUstUw
ᒧᐢᑖᑌᐧᐃᐧᑕᒼ,mOstUtwewItUm
ᒧᐢᑖᐊᐧᐦᑖᐤ,mOstUwUhtUw
ᒧᐢᑎᐦᑳᐧᒥᐤ,mOstIhkwUmIw
ᒧᐢᑎᓇᒼ,mOstInUm
ᒧᐢᑎᓀᐤ,mOstInew
ᒧᐢᑎᑖᐹᓱᐤ,mOstItUpUsOw
ᒧᐢᑐᐦᑌᐤ,mOstOhtew
ᒧᐢᑐᐦᑌᔮᒋᐦᐅᐤ,mOstOhteyUtsIhOw
ᒧᐢᑐᐢ,mOstOs
ᒧᐢᑐᐢ  ᐊᐧᐹᓯᕁ,mOstOs wUpUsIhk
ᒧᐢᑐᓱᑲᒥᐠ,mOstOsOkUmIk
ᒧᐢᑐᓱᓈᕁ,mOstOsOnUhk
ᒧᐢᑐᓱᓯᒧᐤ,mOstOsOsImOw
ᒧᐢᑐᓱᓯᒧᐃᐧᐣ,mOstOsOsImOwIn
ᒧᐢᑐᓱᐢᑎᑳᐧᐣ,mOstOsOstIkwUn
ᒧᐢᑐᓱᐃᐧᔮᐢ,mOstOsOwIyUs
ᒧᐢᑐᓴᐧᐢᑲᓯᕀ,mOstOswUskUsIy
ᒧᐢᑐᓴᐧᔮᐣ,mOstOswUyUn
ᒧᐢᑐᓭᐧᑭᐣ,mOstOswekIn
ᒨᓴᐧ,moswU
ᒨᓴᐧᒌᕁ,moswUtsihk
ᒨᓵᐧᑲᐣ,moswUkUn
ᒨᓴᐧᓯᓃᐢ,moswUsInis
ᒨᓴᐧᓯᓂᕀ,moswUsInIy
ᒨᓴᐧᐢᑳᐤ,moswUskUw
ᒨᓴᐧᔮᐣ,moswUyUn
ᒨᓭᐧᑭᐣ,moswekIn
ᒨᑌᔮᐱᐢᐠ,moteyUpIsk
ᒨᑌᔮᐱᐢᑯᐢ,moteyUpIskOs
ᒧᐊᐧᐨ,mOwUts
ᒧᐋᐧᐦᑫᐧᐤ,mOwUhkwew
ᒧᐋᐧᑯᓀᐤ,mOwUkOnew
ᒧᐁᐧᐤ,mOwew
ᒧᐃᐧᐢᑲᐧᒣᐤ,mOwIskwUmew
ᒧᐃᐧᑐᐊᐧᐠ,mOwItOwUk
ᒨᕀ,moy
ᒨᕀ ᒉᐢᑲᐧ,moy tseskwU
ᒨᕀ ᐁᑳ ᐁᑎᑫᐧ,moy ekU etIkwe
ᒨᕀ ᑲᑫᑎᕁ,moy kUketIhk
ᒨᕀ ᑯᓂᑕ,moy kOnItU
ᒨᕀ ᓈᓂᑕᐤ,moy nUnItUw
ᒨᕀ ᓈᓂᑕᐤ ᐃᑌ,moy nUnItUw Ite
ᒨᕀ ᐄᐧᐦᑳᐨ,moy wihkUts
ᒨᕀ ᐄᐧᐦᑳᐟ,moy wihkUt
ᒨᔭ,moyU
ᒨᔭ ᐊᐦᐴ,moyU Uhpo
ᒨᔭ ᐊᐃᐧᔭᐠ,moyU UwIyUk
ᒨᔭ ᒌ,moyU tsi
ᒨᔭ ᓈᓂᑕᐤ,moyU nUnItUw
ᒨᔭ ᐄᐧᐦᑳᐨ,moyU wihkUts
ᒨᔦᔨᐦᑕᒼ,moyeyIhtUm
ᒨᔦᔨᒣᐤ,moyeyImew
ᒫᐧᐨ,mwUts
ᒫᐧᐨ ᐊᐦᐴ,mwUts Uhpo
ᒫᐧᑯᐃᐧᐤ,mwUkOwIw
ᒫᐧᑲᐧ,mwUkwU
ᒫᐧᓯ,mwUsI
ᒫᐧᐢᑯᓯᐋᐧᐣ,mwUskOsIwUn
ᒫᐧᐟ,mwUt
ᒪᐧᔦᐢ,mwUyes
ᒣᐧᐦᒋ,mwehtsI
ᒣᐧᓯᐢᑲᒼ,mwesIskUm
ᒣᐧᓯᐢᑲᐁᐧᐤ,mwesIskUwew
ᒣᐧᐢᑖᒌᐦᑲᒼ,mwestUtsihkUm
ᒣᐧᐢᑖᒌᐦᑲᐁᐧᐤ,mwestUtsihkUwew
ᒣᐧᐢᑖᒋᒣᐤ,mwestUtsImew
ᒣᐧᐢᑕᐢ,mwestUs
ᒣᐧᐢᑖᓯᐦᑕᒼ,mwestUsIhtUm
ᒣᐧᐢᑖᓯᐦᑕᐁᐧᐤ,mwestUsIhtUwew
ᒣᐧᐢᑕᓯᐣ,mwestUsIn
ᒣᐧᐢᑕᓯᓯᐣ,mwestUsIsIn
ᒣᐧᐢᑖᑕᐦᑲᒥᑭᓯᐤ,mwestUtUhkUmIkIsIw
ᒣᐧᐢᑖᑌᐤ,mwestUtew
ᒣᐧᐢᑖᑌᐧᐁᐧᒣᐤ,mwestUtwewemew
ᒣᐧᐢᑖᑌᐧᐃᐧᑕᒼ,mwestUtwewItUm
ᒣᐧᐢᑎᓇᒼ,mwestInUm
ᒣᐧᐢᑎᓀᐤ,mwestInew
ᓇ,nU
ᓈ,nU
ᓈ,nU
ᓇᐨ,nUts
ᓈᒐᑫᐧᓯᐤ,nUtsUkwesIw
ᓇᒑᐢ,nUtsUs
ᓈᒐᐁᐧᓯᐢ,nUtsUwesIs
ᓈᒋᑳᐸᐄᐧᐢᑕᒼ,nUtsIkUpUwistUm
ᓈᒋᑳᑌᐤ,nUtsIkUtew
ᓈᒋᑫᐤ,nUtsIkew
ᓈᒋᒥᐦᑌᐤ,nUtsImIhtew
ᓈᒋᒧᐢᑐᓭᐧᐤ,nUtsImOstOswew
ᓈᒋᓀᐦᐊᒪᐁᐧᐤ,nUtsInehUmUwew
ᓈᒋᓀᐦᐃᑫᐤ,nUtsInehIkew
ᓈᒋᐸᐦᐋᐤ,nUtsIpUhUw
ᓈᒋᐸᐦᐁᐤ,nUtsIpUhew
ᓈᒋᐸᐦᐃᐁᐧᐤ,nUtsIpUhIwew
ᓈᒋᐸᐦᑖᐤ,nUtsIpUhtUw
ᓈᒋᑖᐯᐤ,nUtsItUpew
ᓈᒋᐊᐧᓂᐦᐃᑲᓀᐤ,nUtsIwUnIhIkUnew
ᓈᒋᐊᐧᓂᐦᐃᑫᐤ,nUtsIwUnIhIkew
ᓈᒋᔫᐢᒋᑫᐤ,nUtsIyostsIkew
ᓈᒋᔫᐢᑕᒼ,nUtsIyostUm
ᓈᒋᔫᐢᑕᐁᐧᐤ,nUtsIyostUwew
ᓇᐦ,nUh
ᓇᐦ,nUh
ᓈᐦ,nUh
ᓈᐦᐊ,nUhU
ᓇᐦᐊᐦᐁᐤ,nUhUhew
ᓇᐦᐋᐦᑲᓂᐢᑫᐧᐤ,nUhUhkUnIskwew
ᓇᐦᐋᐦᑲᐱᐤ,nUhUhkUpIw
ᓇᐦᐋᐦᑭᐢ,nUhUhkIs
ᓇᐦᐋᐸᐦᑕᒼ,nUhUpUhtUm
ᓇᐦᐋᐸᒣᐤ,nUhUpUmew
ᓇᐦᐋᐸᓱᐤ,nUhUpUsOw
ᓇᐦᐊᐲᐦᐁᐤ,nUhUpihew
ᓇᐦᐊᐲᐢᑕᒼ,nUhUpistUm
ᓇᐦᐊᐲᐢᑕᐁᐧᐤ,nUhUpistUwew
ᓇᐦᐊᐱᐤ,nUhUpIw
ᓇᐦᐋᐱᐤ,nUhUpIw
ᓇᐦᐊᐢᒋᑫᐤ,nUhUstsIkew
ᓇᐦᐋᓯᐤ,nUhUsIw
ᓇᐦᐊᐢᑕᒫᓱᐤ,nUhUstUmUsOw
ᓇᐦᐊᐢᑕᒪᐁᐧᐤ,nUhUstUmUwew
ᓇᐦᐊᐢᑖᓯᒧᓂᐦᑳᑕᒼ,nUhUstUsImOnIhkUtUm
ᓇᐦᐊᐢᑖᓯᒧᓂᐦᑲᐁᐧᐤ,nUhUstUsImOnIhkUwew
ᓇᐦᐊᐢᑖᓯᒧᓂᐦᑫᐤ,nUhUstUsImOnIhkew
ᓇᐦᐊᐢᑖᓱᐤ,nUhUstUsOw
ᓇᐦᐊᐢᑖᐤ,nUhUstUw
ᓇᐦᐋᐊᐧᑭᐦᑕᒼ,nUhUwUkIhtUm
ᓇᐦᐋᐊᐧᑭᒣᐤ,nUhUwUkImew
ᓇᐦᐋᐊᐧᐢᒋᑫᐤ,nUhUwUstsIkew
ᓇᐦᐋᐊᐧᓱᐤ,nUhUwUsOw
ᓇᐦᐋᐊᐧᐢᑖᐤ,nUhUwUstUw
ᓇᐦᐋᐊᐧᐢᑌᐤ,nUhUwUstew
ᓇᐦᐋᐁᐧᑭᓇᒼ,nUhUwekInUm
ᓇᐦᐋᐁᐧᑭᓀᐤ,nUhUwekInew
ᓇᐦᐋᐃᐧᐦᑕᒼ,nUhUwIhtUm
ᓇᐦᐋᐃᐧᐦᑕᐁᐧᐤ,nUhUwIhtUwew
ᓇᐦᐋᐃᐧᓂᑫᐤ,nUhUwInIkew
ᓇᐦᐋᐃᐧᓂᑫᐃᐧᐣ,nUhUwInIkewIn
ᓇᐦᐁᑳᐨ,nUhekUts
ᓇᐦᐁᑳᒋᐦᑖᐤ,nUhekUtsIhtUw
ᓇᐦᐁᑭᓇᒼ,nUhekInUm
ᓇᐦᐁᔨᐦᑖᑲᐧᐣ,nUheyIhtUkwUn
ᓇᐦᐁᔨᐦᑕᒼ,nUheyIhtUm
ᓇᐦᐁᔨᐦᑕᒥᐦᐁᐤ,nUheyIhtUmIhew
ᓇᐦᐁᔨᐦᑕᒧᐃᐧᐣ,nUheyIhtUmOwIn
ᓇᐦᐁᔨᐦᑕᐁᐧᔨᐦᑕᒼ,nUheyIhtUweyIhtUm
ᓇᐦᐁᔨᐦᑐᐊᐧᐠ,nUheyIhtOwUk
ᓇᐦᐁᔨᐦᑐᐃᐧᐣ,nUheyIhtOwIn
ᓇᐦᐁᔨᒣᐤ,nUheyImew
ᓇᐦᐃᐦᐁᐤ,nUhIhew
ᓇᐦᐃᐦᐅᐤ,nUhIhOw
ᓇᐦᐃᐦᑖᐦᐁᐤ,nUhIhtUhew
ᓇᐦᐃᐦᑕᒼ,nUhIhtUm
ᓇᐦᐃᐦᑖᑐᐊᐧᐠ,nUhIhtUtOwUk
ᓇᐦᐃᐦᑕᐁᐧᐤ,nUhIhtUwew
ᓇᐦᐃᑳᐸᐄᐧᐢᑕᐁᐧᐤ,nUhIkUpUwistUwew
ᓇᐦᐃᑳᐸᐃᐧᐤ,nUhIkUpUwIw
ᓇᐦᐃᑯᐦᑖᑲᓀᒧᐤ,nUhIkOhtUkUnemOw
ᓇᐦᐃᓇᒼ,nUhInUm
ᓇᐦᐃᓀᐤ,nUhInew
ᓇᐦᐃᓂᑫᐃᐧᐣ,nUhInIkewIn
ᓇᐦᐃᐸᔨᐤ,nUhIpUyIw
ᓇᐦᐃᐸᔨᐤ,nUhIpUyIw
ᓇᐦᐃᓯᐣ,nUhIsIn
ᓇᐦᐃᐢᑲᒼ,nUhIskUm
ᓇᐦᐃᐢᑳᑐᒪᑲᓇᐧ,nUhIskUtOmUkUnwU
ᓇᐦᐃᐢᑳᑐᒪᑭᓯᐊᐧᐠ,nUhIskUtOmUkIsIwUk
ᓇᐦᐃᐢᑳᑐᐊᐧᐠ,nUhIskUtOwUk
ᓇᐦᐃᐢᑲᐁᐧᐤ,nUhIskUwew
ᓇᐦᐃᑖᐠ,nUhItUk
ᓇᐦᐄᑎᑭᑎᐤ,nUhitIkItIw
ᓇᐦᐃᑑᑕᒼ,nUhItotUm
ᓇᐦᐄᐤ,nUhiw
ᓇᐦᐃᔨᑯᕁ,nUhIyIkOhk
ᓈᐦᑳᐢᑎᒧᐣ,nUhkUstImOn
ᓇᐦᑲᐧᐣ,nUhkwUn
ᓇᐦᑲᐧᓀᔮᐱᕀ,nUhkwUneyUpIy
ᓇᐦᑲᐧᓂᑲᐣ,nUhkwUnIkUn
ᓇᑲᒋᐦᐁᐤ,nUkUtsIhew
ᓇᑲᒋᐦᐃᐁᐧᐃᐧᐣ,nUkUtsIhIwewIn
ᓇᑲᒋᐦᑖᐤ,nUkUtsIhtUw
ᓈᑲᒋᐦᑖᐤ,nUkUtsIhtUw
ᓇᑲᒋᐦᑖᐃᐧᐣ,nUkUtsIhtUwIn
ᓇᑳᒋᑲᓀᐦᐱᒋᑲᐣ,nUkUtsIkUnehpItsIkUn
ᓇᑲᒋᐸᐦᐁᐤ,nUkUtsIpUhew
ᓇᑲᒋᐱᒋᐢᒋᑳᑌᐤ,nUkUtsIpItsIstsIkUtew
ᓇᑲᒋᐱᒋᐢᑕᒼ,nUkUtsIpItsIstUm
ᓇᑲᒋᐱᒋᐢᑕᐁᐧᐤ,nUkUtsIpItsIstUwew
ᓇᑲᐦᐋᐢᑳᐧᐣ,nUkUhUskwUn
ᓇᑲᐦᒑᐤ,nUkUhtsUw
ᓇᑲᐦᒑᐤ,nUkUhtsUw
ᓇᑳᐦᐃᑲᓇ,nUkUhIkUnU
ᓇᑲᐦᐯᐦᐊᐣ,nUkUhpehUn
ᓇᑲᐦᐯᐦᐊᓄᕁ,nUkUhpehUnOhk
ᓇᑳᐦᑖᐧᐤ,nUkUhtwUw
ᓇᑲᒧᐤ,nUkUmOw
ᓇᑳᓇᒼ,nUkUnUm
ᓇᑳᓀᐤ,nUkUnew
ᓇᑳᓂᑲᐣ,nUkUnIkUn
ᓇᑳᐱᑕᒼ,nUkUpItUm
