ᐋ,U
ᐋᐦᑲᐧᑎᐦᒋᑳᑌᐤ,UhkwUtIhtsIkUtew
ᐋᐦᑲᐧᑎᐦᑖᐤ,UhkwUtIhtUw
ᐋᐦᑲᐧᑎᒣᐤ,UhkwUtImew
ᐋᐦᑲᐧᑎᐣ,UhkwUtIn
ᐋᐦᑲᐧᑎᓇᒼ,UhkwUtInUm
ᐋᐦᑲᐧᑎᓯᒣᐤ,UhkwUtIsImew
ᐋᐦᑳᐧᑎᓯᐤ,UhkwUtIsIw
ᐋᐦᑳᐧᑎᓯᐃᐧᐣ,UhkwUtIsIwIn
ᐋᐦᑳᐧᑐᓇᒧᐤ,UhkwUtOnUmOw
ᐋᐦᑫᐧᐦᑕᐊᐧᐱᐊᐧᐠ,UhkwehtUwUpIwUk
ᐋᐦᑫᐧᐦᑕᐊᐧᐢᑖᐤ,UhkwehtUwUstUw
ᐋᐦᑫᐧᐦᑕᐊᐧᐢᑌᐊᐧ,UhkwehtUwUstewU
ᐋᐦᑫᐧᐦᑕᐁᐧᓵᑫᐤ,UhkwehtUwesUkew
ᐋᐦᑫᐧᐦᑕᐁᐧᐢᑲᒼ,UhkwehtUweskUm
ᐋᐦᑫᐧᐦᑕᐁᐧᐢᑲᐁᐧᐤ,UhkwehtUweskUwew
ᐋᐦᑫᐧᐦᑕᐁᐧᐢᑭᑫᐤ,UhkwehtUweskIkew
ᐊᐦᐱᐦᐨ,UhpIhts
ᐊᐦᐱᐦᐨ,UhpIhts
ᐊᐦᐲᐦᒋᐦᐁᐤ,UhpihtsIhew
ᐊᐦᐲᐦᒋᒣᐤ,UhpihtsImew
ᐊᐦᐲᐦᒋᒧᐤ,UhpihtsImOw
ᐊᐦᐱᐦᒋᐢ,UhpIhtsIs
ᐊᐦᐲᐦᒋᓯᐤ,UhpihtsIsIw
ᐊᐦᐱᐦᐟ,UhpIht
ᐊᐦᐲᐦᑕᐦᐅᓱᐤ,UhpihtUhOsOw
ᐊᐦᐲᐦᑕᐦᐁᐧᐤ,UhpihtUhwew
ᐊᐦᐲᐦᑕᐣ,UhpihtUn
ᐊᐦᐲᐦᑖᐱᐤ,UhpihtUpIw
ᐊᐦᐲᐦᑎᐦᑲᓱᐤ,UhpihtIhkUsOw
ᐊᐦᐲᐦᑎᓈᑯᓯᐤ,UhpihtInUkOsIw
ᐊᐦᐲᐦᑎᓈᑲᐧᐣ,UhpihtInUkwUn
ᐊᐦᐲᐦᑎᐸᔨᐤ,UhpihtIpUyIw
ᐊᐦᐲᐦᑎᐸᔨᐃᐧᐣ,UhpihtIpUyIwIn
ᐊᐦᐲᐦᑎᓯᐤ,UhpihtIsIw
ᐊᐦᐱᐣ,UhpIn
ᐋᐦᐱᐣ,UhpIn
ᐊᐦᐱᓀᑭᐣ,UhpInekIn
ᐋᐦᐱᓂᐦᑫᐤ,UhpInIhkew
ᐊᐦᐴ,Uhpo
ᐊᐦᐴ ᒌ,Uhpo tsi
ᐊᐦᐴ ᐁᑎᑫᐧ,Uhpo etIkwe
ᐊᐦᐴ ᑭᔭ,Uhpo kIyU
ᐊᐦᐴ ᓂᔭ,Uhpo nIyU
ᐊᐦᐴ ᐱᑯ,Uhpo pIkO
ᐊᐦᐴᓈᓂ,UhponUnI
ᐋᐦᑕᐦᐁᐤ,UhtUhew
ᐋᐦᑕᐦᐅᐤ,UhtUhOw
ᐋᐦᑕᐦᐱᒋᑫᐤ,UhtUhpItsIkew
ᐋᐦᑕᐦᐱᓯᐁᐧᐤ,UhtUhpIsIwew
ᐋᐦᑕᐦᐱᑕᒼ,UhtUhpItUm
ᐋᐦᑕᐦᐱᑌᐤ,UhtUhpItew
ᐋᐦᑕᐱᐤ,UhtUpIw
ᐋᐦᑕᐱ,UhtUpIwIn
ᐋᐦᑕᐢᒋᑲᐣ,UhtUstsIkUn
ᐋᐦᑕᐢᒋᑫᐤ,UhtUstsIkew
ᐋᐦᑕᐢᒋᑫᐃᐧᐣ,UhtUstsIkewIn
ᐋᐦᑕᓯᐁᐧᐤ,UhtUsIwew
ᐋᐦᑕᓯᐁᐧᐃᐧᐣ,UhtUsIwewIn
ᐋᐦᑕᐢᑫᐤ,UhtUskew
ᐋᐦᑕᐢᑭᒋᑲᐣ,UhtUskItsIkUn
ᐋᐦᑕᐢᑭᒋᑫᐤ,UhtUskItsIkew
ᐋᐦᑕᐢᑭᐦᐁᐤ,UhtUskIhew
ᐋᐦᑕᐢᑖᐤ,UhtUstUw
ᐋᐦᑕᐢᑌᐤ,UhtUstew
ᐊᐦᑕᕀ,UhtUy
ᐋᐦᑎᓇᒼ,UhtInUm
ᐋᐦᑎᓰᐦᒋᑫᐃᐧᐣ,UhtIsihtsIkewIn
ᐋᐦᑎᓯᐣ,UhtIsIn
ᐋᐦᑐᐦᑕᑖᐤ,UhtOhtUtUw
ᐋᐦᑐᐦᑌᐤ,UhtOhtew
ᐋᐦᑐᑫᐤ,UhtOkew
ᐊᑲᐦᑲᐧᕀ,UkUhkwUy
ᐊᑲᐦᑲᐧᔨᒥᐣ,UkUhkwUyImIn
ᐊᑳᒼ,UkUm
ᐊᑳᒪᐦᐊᒼ,UkUmUhUm
ᐊᑳᒪᐢᑮᕁ,UkUmUskihk
ᐊᑳᒪᐢᑭᕀ,UkUmUskIy
ᐊᑳᒫᔨᕁ,UkUmUyIhk
ᐊᑳᒥᕁ,UkUmIhk
ᐊᑳᒥᐢᑯᑌᕁ,UkUmIskOtehk
ᐊᑳᒥᐢᑯᑌᐤ,UkUmIskOtew
ᐊᑳᒨᑌᓈᕁ,UkUmotenUhk
ᐊᑳᒨᑌᓇᐤ,UkUmotenUw
ᐊᑲᐢᐠ,UkUsk
ᐊᑲᐢᑯᒉᐱᕁ,UkUskOtsepIhk
ᐊᑳᐋᐧ,UkUwU
ᐊᑳᐋᐧᐨ,UkUwUts
ᐊᑳᐋᐧᒋᑫᐤ,UkUwUtsIkew
ᐊᑳᐋᐧᒋᑫᐃᐧᐣ,UkUwUtsIkewIn
ᐋᑲᐋᐧᓯᐤ,UkUwUsIw
ᐊᑳᐋᐧᓯᐁᐧᐤ,UkUwUsIwew
ᐊᑳᐋᐧᓯᐁᐧᐃᐧᐣ,UkUwUsIwewIn
ᐋᑲᐊᐧᐢᑫᐧᐤ,UkUwUskwew
ᐋᑲᐋᐧᐢᑫᐧᔮᕁ,UkUwUskweyUhk
ᐋᑲᐋᐧᐢᑌᐦᐊᒼ,UkUwUstehUm
ᐋᑲᐋᐧᐢᑌᐦᐃᑲᐣ,UkUwUstehIkUn
ᐋᑲᐋᐧᐢᑌᐦᐃᐤ,UkUwUstehIkew
ᐋᑲᐋᐧᐢᑌᐦᐃᑫᐃᐧᐣ,UkUwUstehIkewIn
ᐋᑲᐋᐧᐢᑌᕁ,UkUwUstehk
ᐋᑲᐋᐧᐢᑌᐦᐅᐣ,UkUwUstehOn
ᐋᑲᐋᐧᐢᑌᐦᐅᐤ,UkUwUstehOw
ᐋᑲᐋᐧᐢᑌᐦᐁᐧᐤ,UkUwUstehwew
ᐋᑲᐋᐧᐢᑌᓯᒧᐤ,UkUwUstesImOw
ᐋᑲᐋᐧᐢᑌᓯᐣ,UkUwUstesIn
ᐋᑲᐋᐧᐢᑌᐢᑲᒼ,UkUwUsteskUm
ᐋᑲᐋᐧᐢᑌᐢᑲᐁᐧᐤ,UkUwUsteskUwew
ᐋᑲᐋᐧᐢᑌᐤ,UkUwUstew
ᐊᑳᐋᐧᑕᒼ,UkUwUtUm
ᐊᑳᐋᐧᑕᒪᐁᐧᐤ,UkUwUtUmUwew
ᐊᑳᐋᐧᑕᒧᐃᐧᐣ,UkUwUtUmOwIn
ᐊᑳᐋᐧᑌᐤ,UkUwUtew
ᐊᑳᐋᐧᑌᔨᐦᑕᒼ,UkUwUteyIhtUm
ᐊᑳᐋᐧᑌᔨᐦᑕ,UkUwUteyIhtUmOwIn
ᐊᑳᐋᐧᑌᔨᒣᐤ,UkUwUteyImew
ᐋᑲᐋᐧᔮᕁ,UkUwUyUhk
ᐋᑲᐋᐧᔨᕁ,UkUwUyIhk
ᐋᑲᐁᐧᐁᐧᒪᑲᐣ,UkUwewemUkUn
ᐋᑲᐁᐧᐁᐧᐸᐦᑖᐤ,UkUwewepUhtUw
ᐋᑲᐁᐧᐁᐧᐤ,UkUwewew
ᐊᑳᐁᐧᔨᐦᑕᒼ,UkUweyIhtUm
ᐊᑳᐁᐧᔨᐦᑕᒥᐦᐃᑯᐤ,UkUweyIhtUmIhIkOw
ᐋᑲᔮᓰᒧ ᐤ,UkUyUsimOsIw
ᐋᑲᔮᓰᒧᑐᑕᐁᐧᐤ,UkUyUsimOtOtUwew
ᐋᑲᔮᓰᒧᐤ,UkUyUsimOw
ᐋᑲᔮᓰᒧᐃᐧᐣ,UkUyUsimOwIn
ᐋᑲᔮᓰᐤ,UkUyUsiw
ᐋᑲᔮᓰᐊᐧᐢᒋᑫᐤ,UkUyUsiwUstsIkew
ᐋᑲᔮᓰᐊᐧᐢᒋᑫᐃᐧᐣ,UkUyUsiwUstsIkewIn
ᐋᑲᔮᓰᐊᐧᐢᑖᐤ,UkUyUsiwUstUw
ᐋᑲᔮᓰᐃᐧᐢᑫᐧᐤ,UkUyUsiwIskwew
ᐋᑲᔮᓰᐃᐧᔨᓂᐤ,UkUyUsiwIyInIw
ᐊᑭᐦᒋᑲᓈᐱᐢᐠ,UkIhtsIkUnUpIsk
ᐊᑭᐦᒋᑲᓈᐱᐢᑯᐢ,UkIhtsIkUnUpIskOs
ᐊᑭᐦᒋᑫᐤ,UkIhtsIkew
ᐊᑭᐦᒋᑫᐃᐧᐣ,UkIhtsIkewIn
ᐊᑭᐦᑕᒼ,UkIhtUm
ᐊᑭᐦᑕᒪᐁᐧᐤ,UkIhtUmUwew
ᐊᑭᐦᑖᓱᐣ,UkIhtUsOn
ᐊᑭᐦᑖᓱᐤ,UkIhtUsOw
ᐊᑭᐦᑖᓱᐁᐧᐱᓂᑫᐤ,UkIhtUsOwepInIkew
ᐊᑭᐦᑖᓱᐁᐧᐱᓂᑫᐃᐧᐣ,UkIhtUsOwepInIkewIn
ᐊᑭᐦᑖᓱᐃᐧᐣ,UkIhtUsOwIn
ᐊᑭᐦᑖᐤ,UkIhtUw
ᐊᑭᐦᑌᐤ,UkIhtew
ᐊᑭᐠ,UkIk
ᐊᑭᑲᐧᒧᐤ,UkIkwUmOw
ᐊᑭᒫᐢᐠ,UkImUsk
ᐊᑭᒣᐤ,UkImew
ᐊᑭᓀ,UkIne
ᐊᑭᓀᓇᒼ,UkInenUm
ᐊᑭᓀᐢᑲᒼ,UkIneskUm
ᐊᑭᓀᐢᑲᐁᐧᐤ,UkIneskUwew
ᐊᑭᓀᐁᐧᐢᑲᒼ,UkIneweskUm
