ཧ་ཅང་བཟང་།,ha txaq zaq
ངོས་ལེན་བྱེད་པ།,qo lEn djE pa
རོབ་རྩིས་ཀྱི།,rob tsi kyi
འདྲི་བ།,di wa
ཡིན་ཤག་བྱེད་པ།,yin xag djE pa
མཐུད་པ།,cu pa
འབད་པ།,bE pa
བཅར་བ།,txaR wa
དོ་སྣང་བྱེད་པ།,Co naq djE pa
གཉིད་ལས་སློང་བ།,nyi le lOq wa
རྒྱ་མ།,gya ma
ཡིན་པ།,yin pa
ཡི་ཆེས།,yi txhE
བཀུག་པ།,kug pa
ཕན་ཐོགས་པ།,phen cog pa
བསྲེ་བ།,sre wa
གཡར་བ།,yaR wa
འཕར་བ།,phaR wa
བཅག་པ།,txag pa
རྩིག་པ།,tsig pa
སྤྲོ་བ་སྐྱེད་ཕྱིར་ཀློག་པ།,to wa kye txhiR lOg pa
up,དྲོ་བོ་གྱོན་པ།,do po gyon pa
ཉོ་བ།,nyo wa
སྐད་གཏོང་བ།,kye Toq wa
འཁྱེར་བ།,khER wa
འཛིན་པ།,dzin pa
སྡེ་ཚན་དུ་དབྱེ་བ།,CE tshen Cu yE wa
རྒྱུ།,gyu
འགྱུར་བ།,gyuR wa
ཞིབ་བཤེར།,jib xER
མུ་མཐུད།,mu cu
གཞོག་པ།,jog pa
འདམ་པ།,Cam pa
བཙབ་པ།,tsab pa
གྲལ་རིམ་དུ་དབྱེ་བ།,dal rim Cu yE wa
གཙང་མ།,tsaq ma
འཛེག་པ།,dzEg pa
འདྲ་པོ་བཟོ་བ།,da po zo wa
འདུ་བ།,Cu wa
ཡོང་བ།,yoq wa
བརྩི་བ།,tsi wa
འབྲེལ་བ་བྱེད་པ།,dEl wa djE pa
དགའ་བསུ་ཞུ་བ།,ga su ju wa
བསམ་བློ་གཏོང་བ།,sam lo Toq wa
བརྩི་བ།,tsi wa
གས་ཆག་ཤོར་བ།,ge txag xoR wa
འཕྱེ་བ།,txE wa
གཡོག་པ།,yOg pa
བཟོ་བ།,zo wa
རྒལ་བ།,gal wa
ཞབས་བྲོ།,jab do
ཐག་གཅོད་པ།,cag txoe pa
ཕྱིར་བཤོལ།,txhiR xol
སྐྱེལ་བ།,kyEl wa
དངོས་སུ་སྟོན་པ།,qo su Ton pa
འཇུ་བ།,dju wa
དབྱེ་བ།,yE wa
རི་མོ་འབྲི་བ།,ri mo di wa
རྨི་ལ་རྨི་བ།,mI lam mI wa
འཐུང་བ།,cuq wa
ཐིགས་པ་རྒྱག་པ།,cig pa gyag pa
སྣུམ་འཁོར་གཏོང་བ།,Numkhor Toq wa
སྐྱུར་བ།,kyuR wa
རྔ་རྡུང་བ།,qa Cuq wa
ཟ་བ།,za wa
བྱེད་པ།,djE pa
ཆུ་འཐེན་པ།,txu cEn pa
ནུས་ཤུགས་སྟེར་བ།,nu xug TER wa
དོ་སྣང་སྤྲོད་པ།,Co naq toe pa
འཛུལ་བ།,dzul wa
བརྩི་བ།,tsi wa
བརྗེ་བ།,djE wa
ཐོན་སྒོ།,con go
རེ་བ་བྱེད་པ།,rE wa djE pa
འགྲེལ་བཤད་བྱེད་པ།,dEl xE djE pa
འཚོལ་ཞིབ་བྱེད་པ།,tshol jib djE pa
རྒྱས་སུ་གཏོང་བ།,gye su Tong wa
ལྷུང་བ།,lhuq wa
འཆར་བ།,txaR wa
ཟས་སྤྲོད་པ།,ze toe pa
ཚོར་བ།,tsoR wa
འགེང་པ།,gEq pa
stuff out,དོན་དག་གསལ་པོ་བཟོ་བ།,Con dag sal po zo wa
རྙེད་པ།,nyE pa
ལྡིང་བ།,Ciq wa
རྒྱུག་པ།,gyug pa
འདུ་གནས།,Cu NE
རྗེས་སུ་འབྲང་བ།,djE su daq wa
བརྗེད་པ།,djE pa
ཁ་གྱེས་པ།,kha gyE pa
གཟུགས།,zug
གསར་དུ་རྙེད་པ།,saR Cu nyE pa
དོགས་པ།,Cog pa
མ་རྩ་གཏོང་བ།,ma tsa Toq wa
འདུ་བ།,Cu wa
ཐོབ་པ།,cob pa
དབུགས་གཏོང་བ།,wug Toq wa
སྤྲོད་པ།,toe pa
འགྲོ་བ།,do wa
གློ་བུར་དུ་འཛིན་པ།,lo buR Cu dzin pa
གནང་བ་སྤྲོད་པ།,Naq wa toe pa
ངོས་ལེན་མི་བྱེད་པ།,qo lEn mi djE pa
ཁོང་དུ་ཆུད་པ།,khoq Cu txu pa
སྔོ་རྩྭ་ཟ་བ།,qo tsa za wa
སྡེ་ཚན་སྒྲིག་པ།,CE tshen dig pa
