𒀊𒌋,abu
𒋻𒌅,haxtu
𒉺𒂅,haTTu
𒄭𒄘𒌦,hibiltu
𒄭𒄭𒉡,hinhinu
𒄯𒄯,huruhuru
𒅁𒂍,ibbiitu
𒆉𒅘𒆪,immanakku
𒅕𒁁𒌋,irXiXu
𒄑𒁍,izbu
𒁼,ixdu
𒅖𒄷,ixhu
𒅖𒌓𒌋,ixparu
𒅖𒉻𒌋,ixpatu
𒆏𒁇𒌋,kabbaru
𒆏𒋢,kabsu
𒆕𒆏𒌅,kakkabtu
𒆕𒆏𒌋,kakkabu
𒌋𒁵𒇻,kakkullu
𒌨,kalbu
𒆗𒇻,kallu
𒄰𒈬,kammu
𒃶𒁺,kandu
𒋼𒀀𒍣𒈨𒌋𒌋𒌋,karballatu
𒋼𒀀𒋗,karxu
𒆠𒃲𒇻,kigallu
𒁶𒄴𒄷,kimahhu
𒃱𒈦𒊺,kindabaxxe
𒄒𒉻𒌋,kippatu
𒄫𒊒𒌅,kirrutu
𒆤𒌉𒊒,kitturru
𒆧𒊌𒆪,kixukku
𒄘,kixaadu
𒆧𒃮,kiXirtu
𒁺𒁍𒋢,kubbusu
𒁺𒌅,kubtu
𒁺𒋗,kubxu
𒆰𒇻,kullu
𒆳𒁷𒉡,kurdinnu
𒂁𒉡,kurinnu
𒆳𒄑𒋢,kurissu
𒆳𒊒,kurru
𒆳𒌤,kursiu
𒌓𒄭𒉡𒌅,lahhinutu
𒇳,la'u
𒀚𒌅,lipixtu
𒀖𒆪,litku
𒈜𒉿,lubuxtu
𒈝𒈬,lummu
𒈝𒉡,lumnu
𒅆𒁺𒍮,mahraXu
𒂷𒋺𒌋,maldadu
𒈥𒋥𒌋,marratu
𒈥𒋗,marxu
𒈦𒀊𒁍,masabbu
𒈠𒍣𒌋,maziu
𒈦𒀭𒁺,maxaddu
𒈦𒉌𒌓𒂗𒌅,maxennatu
𒆳𒄿,maTi
𒈤𒍮,mehXu
𒂇𒂅,merTu
𒅂𒊒,midru
𒈩𒊒,miXru
𒄷𒄭𒀝𒆠𒌋,mudakkiu
𒈮𒀠𒅆𒌅,mukallimtu
𒈮𒅈𒊕𒌋,mukarrisu
𒀯𒀊𒂍𒌋,mulappitu
𒅘𒁀𒋢,nakbasu
𒅘𒄰𒌅,nakkamtu
𒀮𒄷,naphu
𒀮𒆗𒌋,naptanu
𒀮𒋀𒌅,napxaxtu
𒈜𒋼𒇲𒌅,nargallatu
𒈜𒃲𒇻,nargallu
𒊩𒌨𒅘𒆪,nignakku
𒊩𒌨𒅁𒌅,nikiptu
𒊩𒌨𒆜𒋢,nikkassu
𒍑𒌅,nittu
𒈜𒄯𒌅,pahhurtu
𒁄𒇺𒋢,pallissu
𒁄𒋗,palxu
𒉽𒌓𒊑𒅀,pappardaliu
𒌓𒆰𒇻,parkullu
𒀳𒉡,pinnu
𒋗𒉡,Katnu
𒄫𒈬,Kermu
𒄥𒆗𒌋,Kurrubu
𒋥𒅎𒌋,raddidu
𒊐𒄣,rapKu
𒈩𒌅,rittu
𒊿𒋢𒌋,rukkusu
𒊿𒄣,ruKKu
𒉺𒅁𒁍𒁍,sabbubu
𒆤𒄯𒌋,sahharu
𒊕𒊒,sakru
𒊩𒇻,sallu
𒊕𒈮𒌋,sanbuku
𒊕𒄃𒄷𒄭,saqilmud
𒉺𒅁𒇺𒄷,saplixhu
𒉺𒅁𒌌𒄷,sapulhu
𒊬𒄷,sarhu
𒆠𒆗𒋢,sassu
𒋤𒁺,serdu
𒋻𒄴,siluh
𒌍𒆪,sinku
𒋀𒀠𒄷,sisalhu
𒆹𒆪,sukku
𒋻𒃶𒉡,sulukannu
𒋧𒈬,summu
𒈽𒋢,sussu
𒈽𒂄𒇻,sussullu
𒋳𒆜𒋢,takkassu
𒋳𒋢𒋢,takkussu
𒋳𒁍,takpu
𒊑𒈜,tallulu
𒋰𒄷,taphu
𒋻𒁀𒍮,tarbaXu
𒋻𒈠𒉣𒌋,tarmazilu
𒌆𒉡,taskarinnu
𒄘𒆪,tikku
𒌁𒅎𒌅,tirimtu
𒌅𒀉𒌅,tudittu
𒌒𒉡,upnu
𒌨𒆳𒌋,urnatu
𒊻𒌨𒌅,uXurtu
𒁁𒀊𒌅,zazabtu
𒍦𒌍,zibbatu
𒍣𒁹𒍣𒁹𒈬,zimzimmu
𒍨𒄣,ziKKu
𒍪𒀪𒀪𒍪,zu''uzu
𒉺𒅁𒆜𒌋,xabbuxu
𒊕𒅔𒌅,xakintu
𒊕𒆰𒇻,xakkullu
𒊩𒂅,xalTu
𒌓𒆸𒇻,xamaxkillu
𒉺𒅁𒉻𒌋,xappatu
𒉺𒅁𒁍,xappu
𒈜𒈬,xatammu
𒋓𒋓𒋥𒌋,xerxerratu
𒋀𒋗,xexxu
𒌋𒂙𒌅,xibirtu
𒋆𒆳𒌋,ximmatu
𒋝𒁺,xiKdu
𒀜,xiriat
𒂵,xizbu
𒂄𒇻𒋗,xulluxu
𒊿𒀭𒉡,xunannu
𒉻𒌌𒌅,xuKultu
𒋩𒋤𒌋,xurxudu
𒌋𒅁𒁍,xuxippu
𒌋𒅁𒅤,xuxippum
𒋗𒀪,xu'u
𒈲𒊒,Xerru
𒍦𒃮,Xipirtu
𒍦𒁍,Xippu
𒀫𒊒,Xurru
𒋰𒌅,Tabtu
𒁾𒈗𒌅,Tupxarratu
𒄙𒊒,Turru
𒀊𒋾,abati
𒀊𒅅𒌅,abiktu
𒀜,ada
𒅈𒊩𒌋,arraku
𒀜𒋻𒌅,attartu
𒀀𒀀𒆪,ayyaku
𒀀𒀀𒊭,ayyixa
𒀸𒇻,axlu
𒀸𒊒,axru
𒁁𒋺𒀀𒀀,battatayya
𒊑𒄷,dalhu
𒀀𒇒𒌅,exertu
𒊩𒍑𒁲𒍪,gamuzu
